Source	Name	Id	Category	Price	Volume	DetailsId	Image
Sockets	Warding Rune of Equinox	warding-rune-of-equinox	Sockets	0.05614	1.13	warding-rune-of-equinox	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvUnVuaWNXYXJkMjAiLCJzY2FsZSI6MSwicmVhbG0iOiJwb2UyIn1d/d636760a41/RunicWard20.png
Sockets	Warding Rune of Glancing	warding-rune-of-glancing	Sockets	0.006543	0.01963	warding-rune-of-glancing	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvUnVuaWNXYXJkMTMiLCJzY2FsZSI6MSwicmVhbG0iOiJwb2UyIn1d/dcdd116775/RunicWard13.png
Sockets	Warding Rune of Heart	warding-rune-of-heart	Sockets	0.04218	1.74	warding-rune-of-heart	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvUnVuaWNXYXJkMTQiLCJzY2FsZSI6MSwicmVhbG0iOiJwb2UyIn1d/eafc6ac83e/RunicWard14.png
Sockets	Warding Rune of Hollowing	warding-rune-of-hollowing	Sockets	0.01769	0.2418	warding-rune-of-hollowing	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvUnVuaWNXYXJkMjQiLCJzY2FsZSI6MSwicmVhbG0iOiJwb2UyIn1d/1248d249b1/RunicWard24.png
Sockets	Warding Rune of Nourishment	warding-rune-of-nourishment	Sockets	0.0137	0.1416	warding-rune-of-nourishment	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvUnVuaWNXYXJkMTUiLCJzY2FsZSI6MSwicmVhbG0iOiJwb2UyIn1d/5c516d4bf8/RunicWard15.png
Sockets	Warding Rune of Obsession	warding-rune-of-obsession	Sockets	0.005939	0.01386	warding-rune-of-obsession	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvUnVuaWNXYXJkMTkiLCJzY2FsZSI6MSwicmVhbG0iOiJwb2UyIn1d/d3b0901b07/RunicWard19.png
Sockets	Warding Rune of Protection	warding-rune-of-protection	Sockets	0.01017	0.09492	warding-rune-of-protection	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvUnVuaWNXYXJkMiIsInNjYWxlIjoxLCJyZWFsbSI6InBvZTIifV0/f81320137b/RunicWard2.png
Sockets	Warding Rune of Reinforcement	warding-rune-of-reinforcement	Sockets	0.09616	15.66	warding-rune-of-reinforcement	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvUnVuaWNXYXJkMSIsInNjYWxlIjoxLCJyZWFsbSI6InBvZTIifV0/9dad170d35/RunicWard1.png
Sockets	Warding Rune of Salvaging	warding-rune-of-salvaging	Sockets	0.006928	0.01155	warding-rune-of-salvaging	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvUnVuaWNXYXJkMjEiLCJzY2FsZSI6MSwicmVhbG0iOiJwb2UyIn1d/c14d4dd553/RunicWard21.png
Sockets	Warding Rune of Stability	warding-rune-of-stability	Sockets	0.0132	0.121	warding-rune-of-stability	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvUnVuaWNXYXJkMTAiLCJzY2FsZSI6MSwicmVhbG0iOiJwb2UyIn1d/089be64017/RunicWard10.png
